time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-15T23:49:08.350Z,38.6386667,-121.8718333,15.63,3.03,ml,90,57,0.1306,0.28,nc,nc72739095,2017-03-09T02:14:32.040Z,"8km ESE of Cottonwood, California",earthquake,0.5,0.29,0.131,40,reviewed,nc,nc
2016-12-15T22:53:03.880Z,38.4146667,-122.2628333,7.43,2.73,md,85,59,0.02613,0.23,nc,nc72739070,2017-02-11T10:55:09.770Z,"8km E of Yountville, California",earthquake,0.23,0.43,0.195,56,reviewed,nc,nc
2016-12-15T18:46:54.700Z,36.8443,-98.2433,6.165,2.6,ml,,97,,0.48,us,us2000813h,2017-03-09T02:14:32.040Z,"14km NE of Cherokee, Oklahoma",earthquake,1.3,4.8,,,reviewed,tul,tul
2016-12-15T08:06:33.300Z,35.0199,-97.6421,5,2.6,ml,,52,,0.35,us,us200080z5,2017-03-09T02:14:31.040Z,"13km S of Blanchard, Oklahoma",earthquake,2,6.9,,,reviewed,tul,tul
2016-12-15T06:04:15.790Z,34.0485,-117.2493333,16.71,2.96,ml,151,12,0.02335,0.18,ci,ci37765344,2017-03-09T02:14:31.040Z,"1km E of Loma Linda, CA",earthquake,0.1,0.22,0.139,241,reviewed,ci,ci
2016-12-15T05:37:53.087Z,39.1709,-118.4589,7.9,2.5,ml,11,89.91,0.298,0.0762,nn,nn00569621,2018-07-02T18:08:48.461Z,"43km SE of Fallon, Nevada",earthquake,,2.8,0.23,8,reviewed,nn,nn
2016-12-15T04:27:48.000Z,46.98,-67.19,5,2.5,mb_lg,,,,0.64,us,us2000818c,2017-03-09T02:14:31.040Z,"49km E of Limestone, Maine",earthquake,3.2,2,,,reviewed,ott,ott
2016-12-14T22:38:11.100Z,35.0203,-97.6429,3.899,2.5,ml,,61,,0.89,us,us200080uf,2017-03-09T02:14:31.040Z,"13km S of Blanchard, Oklahoma",earthquake,1.7,7.3,,,reviewed,tul,tul
2016-12-14T20:20:06.950Z,43.7191,-105.1929,0,3.5,ml,,77,0.927,0.84,us,us10007m2c,2017-03-09T02:14:31.040Z,"Wyoming",mining explosion,4.3,1.7,0.052,68,reviewed,us,us
2016-12-14T19:24:08.640Z,38.8153333,-122.8413333,0.81,2.54,md,58,36,0.01171,0.06,nc,nc72738365,2017-02-11T10:42:49.480Z,"8km WNW of The Geysers, California",earthquake,0.12,0.16,0.202,37,reviewed,nc,nc
2016-12-14T19:12:42.200Z,36.6713,-97.7342,7.968,3.2,ml,,45,,0.22,us,us200080sj,2017-03-09T02:14:31.040Z,"15km S of Medford, Oklahoma",earthquake,1.1,5.1,,,reviewed,tul,tul
2016-12-14T18:20:08.167Z,38.9676,-118.2201,7.6,2.6,ml,11,64.07,0.123,0.0797,nn,nn00569561,2018-07-02T18:08:46.635Z,"28km WNW of Gabbs, Nevada",earthquake,,2.4,0.26,8,reviewed,nn,nn
2016-12-14T18:13:03.850Z,35.5618333,-120.8018333,4.64,2.94,md,87,23,0.06486,0.07,nc,nc72738225,2017-03-09T02:14:31.040Z,"8km W of Templeton, California",earthquake,0.12,0.4,0.126,88,reviewed,nc,nc
2016-12-14T16:46:18.490Z,38.8071667,-122.8441667,1.58,2.99,ml,64,42,0.01171,0.07,nc,nc72737990,2017-03-09T02:14:31.040Z,"8km WNW of The Geysers, California",earthquake,0.09,0.13,0.093,21,reviewed,nc,nc
2016-12-14T16:41:05.530Z,38.8221667,-122.8413333,1.48,5.01,mw,85,26,0.01351,0.06,nc,nc72737985,2017-11-24T17:26:30.086Z,"8km NW of The Geysers, California",earthquake,0.08,0.1,,6,reviewed,nc,nc
2016-12-14T11:58:39.840Z,35.5606667,-120.805,4.59,3.95,mw,83,43,0.06757,0.07,nc,nc72737765,2017-03-18T00:09:39.958Z,"9km W of Templeton, California",earthquake,0.13,0.43,,4,reviewed,nc,nc
2016-12-14T11:48:43.730Z,38.6456667,-121.878,15.08,2.94,md,54,60,0.1234,0.27,nc,nc72737750,2017-02-11T10:30:30.630Z,"8km E of Cottonwood, California",earthquake,0.38,0.39,0.27,84,reviewed,nc,nc
2016-12-14T08:03:47.400Z,37.6378333,-118.9371667,5.54,2.78,md,30,72,0.02703,0.05,nc,nc72737135,2018-07-02T18:08:45.569Z,"3km ESE of Mammoth Lakes, California",earthquake,0.26,0.43,0.252,30,reviewed,nc,nc
2016-12-14T07:48:23.780Z,37.6375,-118.9358333,6.47,2.56,md,34,70,0.02793,0.09,nc,nc72737020,2018-07-02T18:08:46.303Z,"2km SE of Mammoth Lakes, California",earthquake,0.21,0.28,0.2,33,reviewed,nc,nc
2016-12-14T07:45:59.490Z,37.6318333,-118.9301667,5.05,2.74,md,26,69,0.02252,0.06,nc,nc72737015,2017-02-11T10:15:41.120Z,"4km ESE of Mammoth Lakes, California",earthquake,0.29,0.24,0.318,19,reviewed,nc,nc
2016-12-14T07:44:24.970Z,37.6381667,-118.9251667,6.11,3.99,mw,37,55,0.02162,0.05,nc,nc72737010,2018-07-02T18:08:43.988Z,"4km ESE of Mammoth Lakes, California",earthquake,0.2,0.26,,3,reviewed,nc,nc
2016-12-14T07:28:07.630Z,37.636,-118.9286667,5.61,2.88,md,36,63,0.02252,0.07,nc,nc72737000,2018-07-02T18:08:45.870Z,"4km ESE of Mammoth Lakes, California",earthquake,0.18,0.21,0.213,68,reviewed,nc,nc
2016-12-13T21:39:34.860Z,35.9893333,-120.1246667,16.52,2.76,md,90,69,0.07297,0.15,nc,nc72736865,2017-02-11T10:13:21.620Z,"1km SSE of Avenal, California",earthquake,0.25,0.24,0.15,82,reviewed,nc,nc
2016-12-13T21:12:28.350Z,33.2483333,-116.4171667,4.81,2.62,ml,85,28,0.01981,0.17,ci,ci37763920,2017-02-08T19:33:28.474Z,"4km WSW of Borrego Springs, CA",earthquake,0.11,0.32,0.197,118,reviewed,ci,ci
2016-12-13T19:12:38.683Z,38.6579,-118.7898,9.3,3.3,ml,31,65.38,0.202,0.1487,nn,nn00569390,2018-07-02T18:08:40.888Z,"20km NW of Hawthorne, Nevada",earthquake,,1.1,0.13,13,reviewed,nn,nn
2016-12-13T18:01:51.300Z,36.4551,-98.7877,6.08,2.6,ml,,51,,1.12,us,us200080hz,2017-03-09T02:14:30.040Z,"34km NW of Fairview, Oklahoma",earthquake,1.7,3.8,,,reviewed,tul,tul
2016-12-13T14:40:21.000Z,44.33,-66.1,18,3,mb_lg,,,,0.25,us,us200080m1,2017-03-09T02:14:30.040Z,"41km SW of Digby, Canada",earthquake,4.7,2,,,reviewed,ott,ott
2016-12-13T13:27:34.050Z,25.1174,-109.4987,10,4.5,mb,,215,0.635,0.82,us,us200080fu,2017-03-09T02:14:30.040Z,"69km SW of Topolobampo, Mexico",earthquake,6,1.9,0.052,109,reviewed,us,us
